,Company Name,Amount Declared,No of HCP HCO Declared,Amount Undeclared,No of HCP HCO Undeclared,Total Amount,Total HCOs/HCPs,Proportion of names undeclared,Proportion of total amount undeclared
12,ApoPharma Inc,5834.3,5,87730.81,10.0,93565.11,15.0,66.6666666667,93.7644491627
80,Sunovion Pharmaceuticals Europe Ltd,30307.42,23,177471.41,341.0,207778.83,364.0,93.6813186813,85.4136150444
79,Stirling Anglian Pharmaceuticals Ltd,55762.78,48,253867.99,116.0,309630.77,164.0,70.7317073171,81.990556042
36,Eisai Ltd,64976.12,41,213758.78,305.0,278734.9,346.0,88.1502890173,76.6889183952
53,Merck Sharp & Dohme Ltd,1353418.62,1105,3041484.0,2524.0,4394902.62,3629.0,69.5508404519,69.2048098212
57,Napp Pharmaceuticals Ltd,704232.35,541,1074987.46,1341.0,1779219.81,1882.0,71.2539851222,60.4190361392
47,Ipsen Developments Ltd,162149.85,141,243458.53,298.0,405608.38,439.0,67.8815489749,60.0230522851
61,Octapharma Ltd,100073.42,64,129615.38,55.0,229688.8,119.0,46.218487395,56.4308664593
45,Grunenthal Ltd,327284.61,348,423016.55,176.0,750301.16,524.0,33.5877862595,56.3795676392
7,Allergan Ltd,883775.2,391,1040011.45,1271.0,1923786.65,1662.0,76.4741275572,54.0606438869
51,Meda Pharma,75097.76,151,87959.14,109.0,163056.9,260.0,41.9230769231,53.9438318771
15,BGP Products Ltd,40738.34,89,47398.73,73.0,88137.07,162.0,45.0617283951,53.7784271703
85,Vifor Fresenius Medical Care Renal Pharma,14482.41,7,16460.33,8.0,30942.74,15.0,53.3333333333,53.1960970489
72,Sandoz Ltd,337930.16,184,375084.65,196.0,713014.81,380.0,51.5789473684,52.6054500888
32,Chugai Pharma UK,440574.57,111,461297.13,194.0,901871.7,305.0,63.606557377,51.148864079
56,Mundipharma,240135.36,115,242054.0,172.0,482189.36,287.0,59.9303135889,50.1989508852
25,Boehringer Ingelheim Ltd,948732.57,815,826901.12,815.0,1775633.69,1630.0,50.0,46.569352939
0,A. Menarini Farmaceutica Internazionale S.r.l.,169236.09,150,143074.02,158.0,312310.11,308.0,51.2987012987,45.8115236807
37,Eli Lilly & Company Ltd,1410567.01,1889,1158566.0,1645.0,2569133.01,3534.0,46.5478211658,45.0956021152
74,Santen UK Limited,65790.94,90,51417.82,37.0,117208.76,127.0,29.1338582677,43.8685811538
76,Shionogi Limited,37725.63,10,27957.71,40.0,65683.34,50.0,80.0,42.5643854286
19,Bayer Plc,4309603.44,3184,3165949.91,2080.0,7475553.35,5264.0,39.5136778116,42.3507098642
28,Britannia Pharmaceuticals,409318.21,166,298845.58,397.0,708163.79,563.0,70.5150976909,42.2000650443
60,Novo Nordisk Limited,2229700.56,1064,1608824.37,1378.0,3838524.93,2442.0,56.4291564292,41.9125679614
75,Servier Laboratories Ltd,790342.0,530,569220.0,573.0,1359562.0,1103.0,51.9492293744,41.8678956899
20,Besins Healthcare (UK) Ltd,50768.73,88,34816.57,65.0,85585.3,153.0,42.4836601307,40.680549113
9,Almirall Ltd,269409.45,277,176548.96,238.0,445958.41,515.0,46.213592233,39.5886602968
83,Tillotts Pharma UK Ltd,145752.0,109,91548.15,145.0,237300.15,254.0,57.0866141732,38.5790527313
29,CSL Behring,207602.51,55,109566.73,169.0,317169.24,224.0,75.4464285714,34.5451942313
13,Astellas Pharma Ltd,1534556.98,2074,809591.7,1300.0,2344148.68,3374.0,38.5299347955,34.5367043869
41,Gedeon Richter (UK) Ltd,106758.33,122,55234.0,94.0,161992.33,216.0,43.5185185185,34.0966760587
4,Actavis,48245.81,65,24631.71,72.0,72877.52,137.0,52.5547445255,33.7987763579
81,Takeda UK Ltd,1166643.88,1139,567654.4,573.0,1734298.28,1712.0,33.4696261682,32.7310709205
6,Alimera Sciences Limited,119754.09,100,57840.99,57.0,177595.08,157.0,36.3057324841,32.5690272501
27,Bristol-Myers Squibb Pharmaceuticals Ltd,1464924.0,675,705584.0,741.0,2170508.0,1416.0,52.3305084746,32.5077815885
77,Shire Pharmaceuticals Ltd,685524.03,495,290900.31,372.0,976424.34,867.0,42.9065743945,29.7924066498
21,Bio Products Laboratory Ltd,28980.94,18,12003.58,24.0,40984.52,42.0,57.1428571429,29.2880824272
67,Pharma Mar SA,56185.52,49,21745.0,50.0,77930.52,99.0,50.5050505051,27.9030603158
24,Biotest UK,69211.54,113,26511.0,25.0,95722.54,138.0,18.115942029,27.6956712599
5,Alcon UK Ltd,89114.52,98,32774.67,50.0,121889.19,148.0,33.7837837838,26.888906227
